,0,1,2,3
0,0.13007215888957782,0.10505832855357974,0.71697791266277,0.11001761068820747
1,0.007675438596491228,0.00974203418305121,0.00023912003825920895,0.010637812554273946
2,0.9950419527078566,0.9711282655761051,0.9907350679277633,0.9982262534643487
3,0.45707481377260994,0.9279122743568833,0.895965605991558,0.9086292521736267
4,1.3010426069826053e-18,0.005883325880145427,8.343763037131375e-06,0.001923753356993321
5,0.0070175438596491255,0.001786180043222306,0.01985294117647059,0.08268531879642996
6,0.019736842105263153,0.005577911915940071,0.017973856209150322,0.02328042328042327
7,0.008333333333333331,0.00330874133691033,0.0130718954248366,0.07249807330339542
8,0.03380325814536336,0.015936111358646893,0.08649495928907691,0.6049906102750126
9,0.053467475506949205,0.07607146648021144,0.04610986994887924,0.20575095876068092
10,0.016697994987468684,0.024962524434355475,0.048155929038281996,0.2837418949869599
